annee_universitaire,departement,degre_etudes,total_inscrits
2012-13,Hautes-Pyr?n?es,BAC + 3,238
2012-13,Vaucluse,Inf?rieur ou ?gal au baccalaur?at,226
2012-13,Territoire de Belfort,BAC + 2,225
2012-13,Charente-Maritime,BAC + 6 et plus,221
2012-13,Hautes-Pyr?n?es,BAC + 1,221
2012-13,Moselle,BAC + 4,219
2012-13,Is?re,Inf?rieur ou ?gal au baccalaur?at,211
2012-13,Hautes-Pyr?n?es,BAC + 4,210
2012-13,Polyn?sie Fran?aise,Inf?rieur ou ?gal au baccalaur?at,207
2012-13,Maine-et-Loire,Inf?rieur ou ?gal au baccalaur?at,202
2012-13,Var,Inf?rieur ou ?gal au baccalaur?at,197
2012-13,Nouvelle-Cal?donie,Inf?rieur ou ?gal au baccalaur?at,192
2012-13,Moselle,BAC + 3,183
2012-13,Haut-Rhin,BAC + 6 et plus,179
2012-13,Vaucluse,BAC + 6 et plus,176
2012-13,Pas-de-Calais,BAC + 6 et plus,173
2012-13,Haute-Corse,BAC + 6 et plus,171
2012-13,Indre-et-Loire,Inf?rieur ou ?gal au baccalaur?at,169
2012-13,Hautes-Pyr?n?es,BAC + 2,166
2012-13,Morbihan,BAC + 6 et plus,165
2012-13,Calvados,Inf?rieur ou ?gal au baccalaur?at,164
2012-13,Haut-Rhin,Inf?rieur ou ?gal au baccalaur?at,164
2012-13,Aube,BAC + 6 et plus,162
2012-13,Cher,BAC + 5,156
2012-13,Mayotte,BAC + 2,148
2012-13,Loir-et-Cher,BAC + 5,145
2012-13,Loir-et-Cher,BAC + 3,145
2012-13,Loir-et-Cher,BAC + 4,143
2012-13,Sarthe,Inf?rieur ou ?gal au baccalaur?at,143
2012-13,Morbihan,Inf?rieur ou ?gal au baccalaur?at,142
2012-13,Cher,BAC + 3,134
2012-13,Finist?re,Inf?rieur ou ?gal au baccalaur?at,132
2012-13,Territoire de Belfort,BAC + 6 et plus,132
2012-13,Loir-et-Cher,BAC + 1,132
2012-13,Cher,BAC + 4,130
2012-13,Tarn,BAC + 5,119
2012-13,Val-d'Oise,Inf?rieur ou ?gal au baccalaur?at,116
2012-13,Moselle,BAC + 1,112
2012-13,Haute-Corse,Inf?rieur ou ?gal au baccalaur?at,109
2012-13,Loir-et-Cher,BAC + 2,92
2012-13,Moselle,BAC + 2,89
2012-13,Yvelines,Inf?rieur ou ?gal au baccalaur?at,89
2012-13,Nouvelle-Cal?donie,BAC + 4,85
2012-13,Gard,BAC + 4,85
2012-13,Polyn?sie Fran?aise,BAC + 5,75
2012-13,Gard,BAC + 5,68
2012-13,Doubs,Inf?rieur ou ?gal au baccalaur?at,66
2012-13,Vienne,Inf?rieur ou ?gal au baccalaur?at,66
2012-13,La R?union,Inf?rieur ou ?gal au baccalaur?at,65
2012-13,Nouvelle-Cal?donie,BAC + 5,63
2012-13,Cher,BAC + 1,62
2012-13,Nouvelle-Cal?donie,BAC + 6 et plus,44
2012-13,Savoie,BAC + 6 et plus,41
2012-13,Polyn?sie Fran?aise,BAC + 6 et plus,31
2012-13,Territoire de Belfort,Inf?rieur ou ?gal au baccalaur?at,30
2012-13,Seine-et-Marne,Inf?rieur ou ?gal au baccalaur?at,18
2012-13,Gard,BAC + 6 et plus,10
2012-13,Cher,BAC + 2,6
2012-13,Cher,BAC + 6 et plus,4
